Serial;Serial Resposta;Software;Marca;Modelo;Status;Local Fisico;Data Compra;Data Envio;Data Cobranca;Valor Cobranca;Forma Aquisicao;Local Cobranca;Operadora;Serial Chip;PDV
'17031CT32231897';'17031CT32231897';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231898';'17031CT32231898';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231900';'17031CT32231900';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231902';'17031CT32231902';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231904';'17031CT32231904';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - FUNCION;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231905';'17031CT32231905';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;BOLT_ADM;06/06/2017;13/06/2017;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231907';'17031CT32231907';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231910';'17031CT32231910';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231911';'17031CT32231911';EXPANSIVA;INGENICO;ICT 220;CONFIGURADO;LOJISTA;06/06/2017;31/03/2023;01/04/2023;109,90;Aluguel;Brasilcard;;'';018001;
'17031CT32231914';'17031CT32231914';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;13/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231915';'17031CT32231915';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;06/06/2017;28/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231916';'17031CT32231916';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;27/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231917';'17031CT32231917';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231918';'17031CT32231918';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;RESSARCIMENTOS;06/06/2017;27/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231920';'17031CT32231920';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;26/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231921';'17031CT32231921';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231922';'17031CT32231922';Sem Info;INGENICO;ICT 220;ESTOQUE;RESSARCIMENTOS;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231923';'17031CT32231923';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231924';'17031CT32231924';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;07/06/2017;06/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231925';'17031CT32231925';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231926';'17031CT32231926';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;24/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231927';'17031CT32231927';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231929';'17031CT32231929';CLOUDWALK;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231931';'17031CT32231931';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231934';'17031CT32231934';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;29/07/2021;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231936';'17031CT32231936';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;06/07/2017;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231937';'17031CT32231937';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;06/06/2017;07/07/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231939';'17031CT32231939';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;06/06/2017;14/07/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231940';'17031CT32231940';Sem Info;INGENICO;ICT 250;CONFIGURADO;Sem Info;09/06/2017;01/01/1900;10/09/2017;109,90;Aluguel;Brasilcard;;'';016616;
'17031CT32231946';'17031CT32231946';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231950';'17031CT32231950';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;29/07/2021;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231954';'17031CT32231954';Sem Info;INGENICO;ICT 250;ESTOQUE;RESSARCIMENTOS;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231955';'17031CT32231955';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;30/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231956';'17031CT32231956';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231961';'17031CT32231961';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA;09/06/2017;17/04/2018;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231962';'0000366232231962';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;17/01/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231963';'17031CT32231963';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231964';'17031CT32231964';CLOUDWALK;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231971';'17031CT32231971';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231972';'17031CT32231972';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231974';'17031CT32231974';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231978';'17031CT32231978';Sem Info;INGENICO;ICT 250;CONFIGURADO;Sem Info;09/06/2017;01/01/1900;18/07/2017;109,90;Aluguel;Brasilcard;;'';014349;
'17031CT32231981';'17031CT32231981';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231984';'17031CT32231984';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;BAIXA DE POS;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231985';'17031CT32231985';Sem Info;INGENICO;ICT 220;ESTOQUE;RESSARCIMENTOS;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231986';'17031CT32231986';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32231997';'17031CT32231997';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;13/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32232021';'17031CT32232021';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32232033';'17031CT32232033';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - FUNCION;06/06/2017;16/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32232047';'17031CT32232047';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;04/02/2021;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32232051';'17031CT32232051';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;12/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32232052';'17031CT32232052';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32232060';'17031CT32232060';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;29/08/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32232062';'17031CT32232062';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32232066';'17031CT32232066';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;09/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17031CT32232068';'17031CT32232068';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - FUNCION;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232316';'17032CT32232316';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232328';'17032CT32232328';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;21/01/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232343';'17032CT32232343';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;06/06/2017;13/06/2017;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232347';'17032CT32232347';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;05/06/2017;18/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232364';'17032CT32232364';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - FUNCION;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232431';'17032CT32232431';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232471';'17032CT32232471';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;06/06/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232500';'17032CT32232500';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232509';'17032CT32232509';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232515';'17032CT32232515';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232516';'17032CT32232516';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - FUNCION;04/10/2017;06/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232517';'17032CT32232517';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;27/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17032CT32232519';'17032CT32232519';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291661';'17212CT32291661';EXPANSIVA;INGENICO;ICT 250;CONFIGURADO;LOJISTA;04/10/2017;26/08/2019;26/09/2019;79,90;Aluguel;Brasilcard;;'';012706;
'17212CT32291662';'17212CT32291662';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291663';'17212CT32291663';EXPANSIVA;INGENICO;ICT 250;CONFIGURADO;LOJISTA;29/11/2017;24/08/2019;24/08/2019;109,90;Aluguel;Brasilcard;;'';032798;
'17212CT32291664';'17212CT32291664';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;24/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291666';'17212CT32291666';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA;29/11/2017;26/01/2018;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291667';'17212CT32291667';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291668';'17212CT32291668';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;11/12/2017;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291669';'17212CT32291669';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;12/11/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291670';'17212CT32291670';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;24/07/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212ct32291674';'17212ct32291674';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;25/06/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291675';'17212CT32291675';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291677';'17212CT32291677';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;12/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291678';'17212CT32291678';Sem Info;INGENICO;ICT 250;CONFIGURADO;Sem Info;29/11/2017;04/01/2018;28/12/2017;109,90;Aluguel;Brasilcard;;'';022416;
'17212CT32291679';'17212CT32291679';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;24/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291680';'17212CT32291680';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291681';'17212CT32291681';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291683';'17212CT32291683';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;20/11/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291684';'17212CT32291684';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;18/06/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291685';'17212CT32291685';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291686';'17212CT32291686';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - FUNCION;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291687';'17212CT32291687';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291688';'17212CT32291688';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;23/01/2018;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212ct32291690';'17212ct32291690';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;02/12/2017;03/09/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212ct32291691';'17212ct32291691';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;RESSARCIMENTOS;29/11/2017;09/06/2018;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291692';'17212CT32291692';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;15/10/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212ct32291693';'17212ct32291693';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212CT32291694';'17212CT32291694';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;06/02/2018;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17212ct32291695';'17212ct32291695';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;02/12/2017;21/12/2017;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291696';'17213CT32291696';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;03/04/2018;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291697';'17213CT32291697';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;19/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291698';'17213CT32291698';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291699';'17213CT32291699';Sem Info;INGENICO;ICT 250;CONFIGURADO;Sem Info;29/11/2017;01/01/1900;20/12/2017;109,90;Aluguel;Brasilcard;;'';023073;
'17213CT32291700';'17213CT32291700';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA;29/11/2017;23/01/2018;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291701';'17213CT32291701';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291702';'17213CT32291702';EXPANSIVA;INGENICO;ICT 250;CONFIGURADO;LOJISTA;29/11/2017;15/04/2019;15/04/2019;109,90;Aluguel;Brasilcard;;'';030147;
'17213ct32291704';'17213ct32291704';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291705';'17213CT32291705';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;RESSARCIMENTOS;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291706';'17213CT32291706';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;24/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291708';'17213CT32291708';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291709';'17213CT32291709';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;23/01/2018;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291710';'17213CT32291710';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291711';'17213CT32291711';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - FUNCION;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291714';'17213CT32291714';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;RESSARCIMENTOS;29/11/2017;02/08/2018;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291718';'17213CT32291718';Sem Info;INGENICO;ICT 250;ESTOQUE;RESSARCIMENTOS;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213ct32291719';'17213ct32291719';Sem Info;INGENICO;ICT 250;CONFIGURADO;Sem Info;29/11/2017;01/01/1900;03/01/2018;109,90;Aluguel;Brasilcard;;'';018801;
'17213CT32291721';'17213CT32291721';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;25/03/2021;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291722';'17213CT32291722';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;09/10/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213ct32291725';'17213ct32291725';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291730';'17213CT32291730';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - FUNCION;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213ct32291733';'17213ct32291733';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - DANIFIC;02/12/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291736';'17213CT32291736';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;24/03/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291737';'17213CT32291737';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291740';'17213CT32291740';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA;29/11/2017;27/03/2018;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213ct32291743';'17213ct32291743';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291745';'17213CT32291745';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - FUNCION;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213ct32291747';'17213ct32291747';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;26/08/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213ct32291749';'17213ct32291749';EXPANSIVA;INGENICO;ICT 220;ESTOQUE;POS ANTIGA - FUNCION;29/11/2017;20/11/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291750';'17213CT32291750';Sem Info;INGENICO;ICT 250;CONFIGURADO;Sem Info;04/10/2017;01/01/1900;09/10/2017;109,90;Aluguel;Brasilcard;;'';019214;
'17213CT32291751';'17213CT32291751';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - FUNCION;29/11/2017;30/07/2021;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291753';'17213CT32291753';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;04/10/2019;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291756';'17213CT32291756';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291757';'17213CT32291757';Sem Info;INGENICO;ICT 250;CONFIGURADO;Sem Info;29/11/2017;01/01/1900;19/01/2018;109,90;Aluguel;Brasilcard;;'';022568;
'17213CT32291762';'17213CT32291762';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291763';'17213CT32291763';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291764';'17213CT32291764';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;04/10/2017;18/03/2020;01/01/1900;0,00;-;Brasilcard;;'';000000;
'17213CT32291765';'17213CT32291765';EXPANSIVA;INGENICO;ICT 250;ESTOQUE;POS ANTIGA - DANIFIC;29/11/2017;01/01/1900;01/01/1900;0,00;-;Brasilcard;;'';000000;
